Uniprot,IonChannelName,AlternativeNames,IonChannelSymbol,Ion,Family,GateMechanism,PubMed
Q9Y696,Chloride intracellular channel protein 4,,CLIC4,chloride,CLIC,"voltage-gated, pH sensitive",PMID: 17453412
Q70Z44,5-hydroxytryptamine receptor 3D,,HTR3D,"cation, nonselective",5-HT3 receptor,ligand-gated (serotonin),PMID: 12801637
Q96RP8,Potassium voltage-gated channel subfamily A member 7,,KCNA7,potassium,K_V,voltage-gated,PMID: 11368907
Q9BQ31,Potassium voltage-gated channel subfamily S member 3,,KCNS3,potassium,K_V,voltage-gated,PMID: 10484328
Q9H3M0,Potassium voltage-gated channel subfamily F member 1,,KCNF1,potassium,K_V,voltage-gated,PMID: 12445884
Q14722,Voltage-gated potassium channel subunit beta-1,,KCNAB1 (KCNA1B),potassium,K channel auxiliary,voltage-gated (auxiliary),PubMed:7499366
Q13303,Voltage-gated potassium channel subunit beta-2 ·,hKvbeta2,"KCNAB2 (KCNA2B, KCNK2)",potassium,K channel auxiliary,voltage-gated (auxiliary),PubMed:7649300
Q9Y5S1,Transient receptor potential cation channel subfamily V member 2,"VRL-1, OTRPC2",TRPV2 (VRL),non-selective cation,TRP,voltage-gated (outward recitfier),PMID: 10201375
B7ZAQ6,Golgi pH regulator A,,"GPR89A (GPHRA, GPR89, SH120)",anion,,voltage-gated,"PubMed:12761501, PubMed:18794847"
Q02641,Voltage-dependent L-type calcium channel subunit beta-1,,CACNB1,calcium,,voltage-gated (auxiliary),"PubMed:1309651, PubMed:8107964, PubMed:15615847"
